사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
박종혁믿음병원,2018-05-28,영업중,063-224-5100,전라북도 전주시 완산구 홍산로 250 (효자동3가),전라북도 전주시 완산구 효자동3가 1531-4,35.81601446,127.1064527,병원,병원,14,27,75,3794.82,내과+정형외과+마취통증의학과+영상의학과,2022-06-30
벧엘요양병원,2007-10-25,영업중,063-255-5321,전라북도 전주시 덕진구 조경단로 77 (금암동),전라북도 전주시 덕진구 금암동 1554-2,35.8412559,127.1386346,요양병원(일반요양병원),요양병원(일반요양병원),10,41,191,1428.4,내과+외과+정형외과+신경외과+피부과+가정의학과+한방내과,2022-06-30
본병원,2002-06-01,영업중,063-220-0300,전라북도 전주시 완산구 유연로 276 (중화산동2가),전라북도 전주시 완산구 중화산동2가 743-8,35.82516592,127.115528,병원,병원,17,45,124,4766.8,내과+신경과+외과+정형외과+신경외과+마취통증의학과+소아청소년과+영상의학과+가정의학과,2022-06-30
사랑요양병원,2011-01-13,영업중,063-282-1600,"전라북도 전주시 완산구 덕적골1길 69, 전주사랑병원 (평화동1가)",전라북도 전주시 완산구 평화동1가 493,35.79189899,127.1413491,요양병원(일반요양병원),요양병원(일반요양병원),22,34,207,3402.9,정형외과+신경외과+흉부외과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
삼남재활의학과병원,2009-06-10,영업중,063-222-8080,전라북도 전주시 완산구 영경3길 6 (중화산동2가),전라북도 전주시 완산구 중화산동2가 225-1,35.81702091,127.1253004,병원,병원,8,21,121,3048.25,내과+재활의학과,2022-06-30
성모요양병원,1992-01-29,영업중,063-270-5003,전라북도 전주시 덕진구 가리내로 118 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1174-8,35.83587555,127.1234416,요양병원(일반요양병원),요양병원(일반요양병원),19,49,220,4285.59,내과+외과+정형외과+피부과+가정의학과+한방내과,2022-06-30
솔한방병원,2014-05-09,영업중,063-714-2200,전라북도 전주시 완산구 팔달로 7 (서서학동),전라북도 전주시 완산구 서서학동 363-3,35.80359244,127.1480813,한방병원,한방병원,5,24,72,1853.5,마취통증의학과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
수병원,2007-03-30,영업중,063-251-7200,전라북도 전주시 완산구 서원로 63 (효자동2가),전라북도 전주시 완산구 효자동2가 1240-11,35.81400516,127.101448,병원,병원,38,52,236,7533.8,내과+외과+정형외과+성형외과+마취통증의학과+영상의학과,2022-06-30
아중요양병원,2018-03-09,영업중,063-714-8888,전라북도 전주시 덕진구 아중로 223 (우아동2가),전라북도 전주시 덕진구 우아동2가 933-3,35.82901262,127.1734152,요양병원(일반요양병원),요양병원(일반요양병원),1,92,427,9776.95,내과+신경과+외과+재활의학과+한방내과+한방재활의학과+침구과,2022-06-30
엠마오사랑병원,1998-02-21,영업중,063-232-8881,전라북도 전주시 완산구 서원로 402-35 (중화산동1가),전라북도 전주시 완산구 중화산동1가 149-1,35.8128787,127.1369579,병원,병원,19,37,99,2636.49,내과+신경과+정신건강의학과+외과+비뇨의학과+재활의학과+가정의학과,2022-06-30
연수요양병원,2008-01-09,영업중,063-220-9311,전라북도 전주시 완산구 쑥고개옛길 118 (삼천동3가),전라북도 전주시 완산구 삼천동3가 690,35.79365647,127.0767305,요양병원(일반요양병원),요양병원(일반요양병원),27,55,276,7089.91,외과+재활의학과+가정의학과+한방내과,2022-06-30
예송요양병원,2016-09-30,영업중,063-250-9100,전라북도 전주시 덕진구 전주천서로 337 (진북동),전라북도 전주시 덕진구 진북동 971-7,35.82234284,127.1319586,요양병원(일반요양병원),요양병원(일반요양병원),10,45,179,5108.95,내과+신경과+외과+정형외과+신경외과+흉부외과+산부인과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
온고을재활의학과병원,2012-05-07,영업중,063-710-3300,전라북도 전주시 완산구 완산길 100 (서완산동1가),전라북도 전주시 완산구 서완산동1가 483,35.81223146,127.139817,병원,병원,4,24,92,2835,내과+마취통증의학과+재활의학과+가정의학과,2022-06-30
온누리안과병원,2018-09-03,영업중,063-277-2774,"전라북도 전주시 완산구 백제대로 325, 온누리안과 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 570-6,35.82229965,127.1223582,병원,병원,19,10,30,3820.5,마취통증의학과+안과+진단검사의학과,2022-06-30
우리노인전문병원,2008-08-18,영업중,063-210-3600,전라북도 전주시 덕진구 정여립로 978 (만성동),전라북도 전주시 덕진구 만성동 135,35.83675789,127.0784751,요양병원(노인병원),요양병원(노인병원),28,28,166,3328.31,신경외과+재활의학과+가정의학과+한방내과+사상체질과,2022-06-30
우리들사랑요양병원,2018-05-10,영업중,063-715-1300,"전라북도 전주시 완산구 우전로 241, 우리들사랑요양병원 (효자동2가)",전라북도 전주시 완산구 효자동2가 1240-2,35.81589574,127.1013386,요양병원(일반요양병원),요양병원(일반요양병원),10,58,277,6070.34,내과+신경외과+산부인과+재활의학과+가정의학과+한방부인과+침구과,2022-06-30
우리들한방병원,2018-05-08,영업중,063-278-2200,전라북도 전주시 덕진구 백제대로 670 (금암동),전라북도 전주시 덕진구 금암동 1597-4,35.84325462,127.142619,한방병원,한방병원,23,25,88,1882.58,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
우석대부속전주한방병원,1991-06-21,영업중,063-220-8300,전라북도 전주시 완산구 어은로 46 (중화산동2가),전라북도 전주시 완산구 중화산동2가 5,35.81741014,127.1285633,한방병원,한방병원,31,37,100,7309.93,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
원광대학교전주한방병원,1989-11-18,영업중,063-270-1114,전라북도 전주시 덕진구 가련산로 99 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 142-1,35.84700562,127.1162126,한방병원,한방병원,57,53,125,8053.59,내과+안과+영상의학과+재활의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
유로병원,2009-03-31,영업중,063-231-6565,전라북도 전주시 완산구 효자로 169 (효자동3가),전라북도 전주시 완산구 효자동3가 1699-4,35.81938959,127.1039547,병원,병원,9,18,43,1558.68,내과+외과+정형외과+신경외과+마취통증의학과+이비인후과+피부과+비뇨의학과,2022-06-30
유앤미 병원,2013-12-24,영업중,063-279-1500,전라북도 전주시 완산구 백제대로 361 (서신동),전라북도 전주시 완산구 서신동 991-8,35.82550943,127.1222318,병원,병원,2,20,57,2167.69,내과+외과+정형외과+성형외과+마취통증의학과+이비인후과+피부과+비뇨의학과+가정의학과,2022-06-30
으뜸병원,2005-11-01,영업중,063-220-3300,전라북도 전주시 완산구 모악로 4678 (평화동2가),전라북도 전주시 완산구 평화동2가 889-1,35.78686647,127.1305418,병원,병원,3,24,58,1599.8,정형외과+가정의학과,2022-06-30
의료법인 디딤의료재단 우리요양병원,2013-04-05,영업중,063-714-3838,전라북도 전주시 덕진구 안덕원로 291 (인후동1가),전라북도 전주시 덕진구 인후동1가 500-77,35.8377698,127.1587682,요양병원(일반요양병원),요양병원(일반요양병원),24,48,298,8163.52,신경과+외과+재활의학과+가정의학과+한방내과+한방부인과+한방재활의학과+침구과,2022-06-30
의료법인 옥성의료재단 골든카운티 요양병원,2013-07-22,영업중,063-221-7676,전라북도 전주시 완산구 중인1길 136-20 (중인동),전라북도 전주시 완산구 중인동 1610,35.76707707,127.0887394,요양병원(일반요양병원),요양병원(일반요양병원),19,38,208,4656.39,외과+가정의학과+한방내과+한방부인과+침구과,2022-06-30
의료법인 지리산의료재단 어의당병원,2014-12-12,영업중,063-900-5555,전라북도 전주시 완산구 전주객사1길 22 (다가동3가),전라북도 전주시 완산구 다가동3가 28,35.8175417,127.1401921,병원,병원,6,29,80,4376.11,내과+신경과+정형외과+산부인과+소아청소년과+피부과+재활의학과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
의료법인 효일의료재단 나눔요양병원,2010-08-02,영업중,063-276-7000,"전라북도 전주시 완산구 선너머2길 4, 전주나눔요양병원 (중화산동1가)",전라북도 전주시 완산구 중화산동1가 250-7,35.81248789,127.1294135,요양병원(일반요양병원),요양병원(일반요양병원),34,66,273,5332.26,내과+신경과+외과+신경외과+재활의학과+가정의학과+한방내과+치주과+구강내과,2022-06-30
의료법인건강나라의료재단 건강나라요양병원,2014-08-27,영업중,063-225-0880,전라북도 전주시 완산구 맏내로 114 (평화동2가),전라북도 전주시 완산구 평화동2가 259-56,35.79056737,127.1293411,요양병원(일반요양병원),요양병원(일반요양병원),26,59,288,6214.48,내과+외과+가정의학과+한방내과+한방부인과+사상체질과+침구과,2022-06-30
의료법인계산재단문실버요양병원,1996-02-01,영업중,063-282-8833,전라북도 전주시 완산구 충경로 91 (경원동3가),전라북도 전주시 완산구 경원동3가 84,35.81970589,127.1491124,요양병원(일반요양병원),요양병원(일반요양병원),10,30,178,3472.75,내과+산부인과+비뇨의학과+가정의학과,2022-06-30
의료법인영경의료재단전주병원,1996-03-08,영업중,063-220-7200,"전라북도 전주시 완산구 한두평3길 13 (중화산동2가, 전주병원)",전라북도 전주시 완산구 중화산동2가 659,35.81516415,127.1247632,종합병원,종합병원,123,78,287,11584.96,내과+신경과+외과+정형외과+신경외과+마취통증의학과+산부인과+소아청소년과+비뇨의학과+영상의학과+진단검사의학과+재활의학과+가정의학과+응급의학과,2022-06-30
의료법인영경의료재단호성전주병원,2014-04-07,영업중,063-240-8800,전라북도 전주시 덕진구 동부대로 895 (호성동1가),전라북도 전주시 덕진구 호성동1가 851-10,35.86546346,127.1478997,병원,병원,14,37,124,4210.6,내과+신경과+외과+정형외과+신경외과+마취통증의학과+산부인과+비뇨의학과+영상의학과+응급의학과,2022-06-30
일이삼한방병원,2016-11-08,영업중,063-907-0123,"전라북도 전주시 덕진구 동부대로 803, 3-4층 (호성동1가)",전라북도 전주시 덕진구 호성동1가 791-1,35.85913066,127.154112,한방병원,한방병원,0,29,78,2081,,2022-06-30
재단법인예수병원유지재단예수병원,1974-05-09,영업중,063-230-8114,"전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)",전라북도 전주시 완산구 중화산동1가 365-8,35.81433164,127.132606,종합병원,종합병원,795,241,803,45884,내과+신경과+정신건강의학과+외과+정형외과+신경외과+흉부외과+마취통증의학과+산부인과+소아청소년과+안과+이비인후과+피부과+비뇨의학과+영상의학과+방사선종양학과+병리과+진단검사의학과+재활의학과+가정의학과+핵의학과+응급의학과+치과,2022-06-30
전북대학교병원,1983-01-28,영업중,063-250-1114,전라북도 전주시 덕진구 건지로 20 (금암동),전라북도 전주시 덕진구 인후동2가 산 2-19,35.84788528,127.1411043,종합병원,종합병원,1505,297,1199,178570.86,내과+신경과+정신건강의학과+외과+정형외과+신경외과+흉부외과+성형외과+마취통증의학과+산부인과+소아청소년과+안과+이비인후과+피부과+비뇨의학과+영상의학과+방사선종양학과+병리과+진단검사의학과+재활의학과+가정의학과+핵의학과+응급의학과+구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과,2022-06-30
전북대학교치과병원,2015-08-25,영업중,063-250-2203,"전라북도 전주시 덕진구 건지로 20 (치과병원동,장애인구강진료센터)동 (금암동, 전북대학교병원)",전라북도 전주시 덕진구 인후동2가 산 2-19,35.84788528,127.1411043,치과병원,치과병원,87,0,0,10707.53,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과,2022-06-30
전일한방병원,2017-02-16,영업중,063-714-4222,전라북도 전주시 완산구 장승배기로 228 (평화동1가),전라북도 전주시 완산구 평화동1가 712-7,35.79705086,127.1374838,한방병원,한방병원,0,27,74,1913.2,,2022-06-30
전주 정드림요양병원,2012-08-17,영업중,063-276-7122,전라북도 전주시 덕진구 솔내로 148 (송천동1가),전라북도 전주시 덕진구 송천동1가 107-179,35.86333293,127.1273385,요양병원(일반요양병원),요양병원(일반요양병원),18,25,163,2584.88,내과+정신건강의학과+외과+가정의학과+한방내과+침구과,2022-06-30
전주21세기병원,2004-03-16,영업중,063-270-5200,전라북도 전주시 덕진구 송천중앙로 43 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 168-2,35.85093335,127.1195564,병원,병원,14,37,120,3843.42,내과+정형외과+신경외과+마취통증의학과+영상의학과,2022-06-30
전주고려병원,2001-03-03,영업중,063-240-7300,전라북도 전주시 덕진구 안덕원로 367 (산정동),전라북도 전주시 덕진구 산정동 852-8,35.84009687,127.1673162,종합병원,종합병원,48,80,279,9836.74,내과+신경과+외과+정형외과+신경외과+마취통증의학과+산부인과+영상의학과+진단검사의학과+가정의학과,2022-06-30
전주기독병원,1995-04-20,영업중,063-220-7000,"전라북도 전주시 완산구 거마평로 185 (효자동1가,398-5)",전라북도 전주시 완산구 효자동1가 398,35.80871229,127.1153751,병원,병원,14,39,206,4024,내과+신경과+외과+정형외과+신경외과+마취통증의학과+영상의학과,2022-06-30
전주늘사랑요양병원,2007-12-04,영업중,063-224-0081,전라북도 전주시 완산구 용리로 60 (삼천동1가),전라북도 전주시 완산구 삼천동1가 285-24,35.79847829,127.1162915,요양병원(일반요양병원),요양병원(일반요양병원),13,33,144,3230,내과+신경과+정신건강의학과+외과+비뇨의학과+가정의학과+한방내과+침구과,2022-06-30
전주다솔아동병원,2017-03-20,영업중,063-280-0800,"전라북도 전주시 완산구 우전로 250, 2~4층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1234-1,35.81716408,127.1022014,병원,병원,27,45,72,2244.4,소아청소년과,2022-06-30
전주문병원,2018-05-21,영업중,063-286-0000,"전라북도 전주시 완산구 용머리로 106, 0동 (효자동1가,전주문병원)",전라북도 전주시 완산구 효자동ㅂ가 547-4,35.80584587,127.1217448,병원,병원,18,10,40,1481.75,내과+마취통증의학과+재활의학과+가정의학과,2022-06-30
전주샘물아동병원,2019-09-27,영업중,063-230-7200,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 5층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1542-1,35.81554866,127.1114225,병원,병원,14,29,50,3114.66,내과+소아청소년과+이비인후과+피부과,2022-06-30
전주선요양병원,2019-09-09,영업중,063-278-8008,전라북도 전주시 완산구 노송여울2길 134 (서노송동),전라북도 전주시 완산구 서노송동 656-3,35.82769399,127.1417948,요양병원(일반요양병원),요양병원(일반요양병원),13,63,239,5723.54,내과+신경과+정형외과+신경외과+이비인후과+피부과+비뇨의학과+재활의학과+가정의학과+한방내과+침구과,2022-06-30
전주수한방병원,2010-12-20,영업중,063-247-9999,전라북도 전주시 덕진구 안덕원로 378 (산정동),전라북도 전주시 덕진구 산정동 857-2,35.83930266,127.1681718,한방병원,한방병원,7,29,111,3058.39,가정의학과+한방내과+한방부인과+한방신경정신과+한방재활의학과+침구과,2022-06-30
전주시립요양병원,2000-06-22,영업중,063-220-9700,전라북도 전주시 완산구 능안자구길 80 (삼천동3가),전라북도 전주시 완산구 삼천동3가 321-51,35.80408206,127.0857351,요양병원(일반요양병원),요양병원(일반요양병원),22,45,188,5244.56,정신건강의학과+재활의학과+가정의학과+한방내과,2022-06-30
전주신세계정형외과병원,2013-06-04,영업중,063-270-1900,전라북도 전주시 덕진구 송천중앙로 125 (송천동1가),전라북도 전주시 덕진구 송천동1가 474-2,35.85822916,127.1205777,병원,병원,7,15,51,1629.34,내과+정형외과+마취통증의학과+영상의학과,2022-06-30
전주열린병원,2022-01-20,영업중,063-286-2233,"전라북도 전주시 완산구 기린대로 227, 1동 (서노송동,전주열린병원)",전라북도 전주시 완산구 서노송동 685-27,35.8266425,127.1453841,종합병원,종합병원,0,59,198,8366.93,,2022-06-30
전주우리들병원,2013-02-18,영업중,063-715-3700,전라북도 전주시 완산구 쑥고개로 398-16 (효자동2가),전라북도 전주시 완산구 효자동2가 238-4,35.80314477,127.1081728,병원,병원,26,30,90,4172.79,내과+정형외과+신경외과+마취통증의학과+영상치의학과,2022-06-30
전주우리병원,2008-02-20,영업중,063-710-3130,"전라북도 전주시 완산구 백제대로 140, 4,5층 (효자동1가, 효자메디컬프라자)",전라북도 전주시 완산구 효자동1가 173-8,35.80543226,127.1238722,병원,병원,17,12,48,1764.36,신경외과+마취통증의학과+영상의학과,2022-06-30
전주우석병원,1997-09-24,영업중,063-220-8300,전라북도 전주시 완산구 어은로 46 (중화산동2가),전라북도 전주시 완산구 중화산동2가 5,35.81741014,127.1285633,병원,병원,3,6,30,849.62,내과+신경과+외과+소아청소년과+영상의학과+재활의학과+가정의학과,2022-06-30
전주항병원,2011-05-09,영업중,063-228-6002,전라북도 전주시 완산구 안행8길 56-7 (삼천동1가),전라북도 전주시 완산구 삼천동1가 743-7,35.79907862,127.1296839,병원,병원,3,12,31,1353,외과,2022-06-30
주랑한방병원,2015-02-05,영업중,063-714-4001,전라북도 전주시 완산구 장승배기로 200 (평화동1가),전라북도 전주시 완산구 평화동1가 710-7,35.79602215,127.1347789,한방병원,한방병원,5,22,67,,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
준한방병원,2018-03-30,영업중,063-715-1234,전라북도 전주시 완산구 서원로 325 (중화산동1가),전라북도 전주시 완산구 중화산동1가 252-11,35.81243343,127.1299118,한방병원,한방병원,0,23,73,1352.96,마취통증의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과,2022-06-30
중경한방병원,2014-11-13,영업중,063-232-2626,전라북도 전주시 완산구 장승배기로 166 (평화동1가),전라북도 전주시 완산구 평화동1가 632-8,35.79490906,127.1310551,한방병원,한방병원,2,21,61,1565.46,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
중앙요양병원,2015-01-12,영업중,063-250-6101,전라북도 전주시 덕진구 가리내로 23 (금암동),전라북도 전주시 덕진구 금암동 459-17,35.83386169,127.1333149,요양병원(일반요양병원),요양병원(일반요양병원),10,28,149,2173.35,내과+외과+정형외과+피부과+가정의학과+한방내과,2022-06-30
지리산한방병원,2011-06-16,영업중,063-279-0900,"전라북도 전주시 완산구 서신로 62, 301호 (서신동, 지리산빌딩)",전라북도 전주시 완산구 서신동 805,35.83090276,127.1162148,한방병원,한방병원,9,20,79,1651865,가정의학과+한방내과+한방안·이비인후·피부과+한방재활의학과,2022-06-30
참병원,2009-06-01,영업중,063-220-0600,전라북도 전주시 완산구 백제대로 114 (효자동1가),전라북도 전주시 완산구 효자동1가 222,35.80368832,127.1249057,병원,병원,9,24,99,3136.06,내과+외과+정형외과+신경외과+마취통증의학과+재활의학과,2022-06-30
청담한방병원,2018-06-22,영업중,063-272-8778,전라북도 전주시 덕진구 팔달로 377 (금암동),전라북도 전주시 덕진구 금암동 454-8,35.8337363,127.1362525,한방병원,한방병원,23,28,82,2693.64,가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
청아람한방병원,2016-07-07,영업중,063-714-4800,전라북도 전주시 완산구 효자로 174 (효자동2가),전라북도 전주시 완산구 효자동2가 1228-5,35.81874154,127.1044138,한방병원,한방병원,9,19,71,1432.55,내과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
포도나무요양병원,2017-07-24,영업중,063-241-6700,전라북도 전주시 덕진구 백제대로 822 (우아동3가),전라북도 전주시 덕진구 우아동3가 752-5,35.84821342,127.1583892,요양병원(일반요양병원),요양병원(일반요양병원),8,37,182,2089.36,내과+신경과+외과+정형외과+가정의학과+한방내과,2022-06-30
학산요양병원,2013-08-22,영업중,063-230-2900,전라북도 전주시 완산구 덕적골3길 55 (평화동1가),전라북도 전주시 완산구 평화동1가 449-1,35.79459473,127.1435072,요양병원(일반요양병원),요양병원(일반요양병원),26,58,277,5189.89,내과+외과+신경외과+한방내과+사상체질과+침구과,2022-06-30
한국노인요양병원,2004-12-21,영업중,063-252-3723,전라북도 전주시 덕진구 백제대로 587 (금암동),전라북도 전주시 덕진구 금암동 728-38,35.84147276,127.1335976,요양병원(일반요양병원),요양병원(일반요양병원),15,24,114,2572.73,내과+신경과+정형외과+신경외과+마취통증의학과+진단검사의학과+재활의학과+한방내과+한방부인과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
한마음요양병원,2002-12-01,영업중,063-220-1111,전라북도 전주시 완산구 백제대로 234 (중화산동2가),전라북도 전주시 완산구 중화산동2가 648-9,35.81391869,127.1235467,요양병원(일반요양병원),요양병원(일반요양병원),14,24,119,2174.42,외과+정형외과+가정의학과+한방내과,2022-06-30
한빛의료소비자생활협동조합 마음편한요양병원,2012-03-26,영업중,063-714-2500,전라북도 전주시 덕진구 쪽구름로 87-1 (반월동),전라북도 전주시 덕진구 반월동 251-1,35.87257595,127.0752271,요양병원(일반요양병원),요양병원(일반요양병원),26,56,279,3195.46,외과+정형외과+신경외과+가정의학과+한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+침구과,2022-06-30
한빛의료소비자생활협동조합 행복나라요양병원,2017-07-14,영업중,063-211-2277,전라북도 전주시 덕진구 번영로 462 (반월동),전라북도 전주시 덕진구 반월동 849,35.87345599,127.0580791,요양병원(일반요양병원),요양병원(일반요양병원),4,53,247,6208.93,내과+신경과+외과+정형외과+신경외과+가정의학과+한방내과+한방부인과+침구과,2022-06-30
